permalink,name,parent_permalink,depth,meta_title,meta_description,meta_keywords,description_html,hero_image_filename,icon_filename,batch_id
brands/duotone-kiteboarding/kites,Duotone Kites,brands/duotone-kiteboarding,2,Duotone Kites 2026 — All Models & Sizes,"Shop all Duotone kites for 2026 — Evo, Rebel, Dice, Echo & more. Expert advice, free EU shipping €99+. Shop now at Surf Store.","duotone kites 2026,duotone evo kite,duotone rebel kite","<h2>Duotone Kites 2026 — The Full Range</h2><p>Duotone's 2026 kite collection spans every riding style from wave riding to big air freestyle to foiling. Each model is refined through input from the Duotone World Tour team and tested extensively before release, ensuring that performance claims translate directly to the water.</p><h2>Choosing the Right Duotone Kite</h2><p>The <strong>Evo SLS</strong> is Duotone's evergreen all-arounder — responsive, stable, and equally at home in light-wind cruising as in powered-up freeriding. The <strong>Rebel D/LAB</strong> is the choice of experienced riders who want a direct, powerful feel in waves or powered-up sessions. The <strong>Dice SLS</strong> is built for unhooked freestyle riders who want maximum pop and hangtime.</p><p>For foiling, the <strong>Echo</strong> provides smooth, consistent power with excellent upwind angle. The <strong>Juice</strong> is ideal for light-wind days when other kites struggle to pull through. Entry-level riders should look at the <strong>Evo</strong> standard — proven reliable and easy to fly across all wind ranges.</p><h2>Why Buy Duotone Kites at Surf Store</h2><p>We stock sizes from 4m to 19m across the full Duotone kite range, including D/LAB and SLS performance editions. Our staff can advise on size selection based on your weight, local conditions, and riding ambitions. We offer free pre-delivery inspection and full manufacturer warranty on all Duotone kites.</p><h2>Expert Advice</h2><p>The single most important factor in kite selection is matching the size to your local wind range. Our team can advise on which single kite, quiver, or foil-specific model best suits surf-store.com's customer locations across Europe.</p><p>Q: What size Duotone kite for 80kg in 15–25 knots?<br>A: A 9m or 10m will cover this range for most riders. For freeriding, lean 10m; for performance, 9m SLS.</p><p>Q: Can I buy a Duotone kite without a bar?<br>A: Yes — kites are sold separately. We recommend purchasing a Duotone Click Bar for optimal compatibility.</p><p>Q: Are 2026 Duotone kites compatible with 2024 bars?<br>A: Yes — Duotone maintains consistent bar compatibility across model years.</p>",,batch_01_brands
brands/duotone-kiteboarding/kite-bars,Duotone Kite Bars,brands/duotone-kiteboarding,2,Duotone Click Bar 2026 — Kite Control Systems,"Duotone Click Bar and Trust Bar 2026. Industry-leading safety, instant one-click release. Free EU shipping €99+. Shop now.","duotone click bar,duotone kite bar 2026,duotone trust bar","<h2>Duotone Kite Bars 2026</h2><p>Duotone's control bar system is one of the most refined in kiteboarding. The <strong>Click Bar</strong> has been the market leader for over a decade, offering a reliable one-click safety release that depower in a single pull regardless of load on the bar. For 2026, Duotone has updated the Click Bar's chicken loop grip and depower cleat for even smoother operation in gloves.</p><h2>Click Bar vs Trust Bar</h2><p>The <strong>Click Bar</strong> is the standard recommendation for freeriders and beginners — a 4-line system with intuitive safety and a proven track record. The <strong>Trust Bar</strong> is the 5-line variant, offering a dedicated kite-depowering fifth line for wave riders and advanced riders who want precision trim in powered conditions. Both bars are fully compatible with the entire 2026 Duotone kite range.</p><h2>Why Buy Duotone Bars at Surf Store</h2><p>We stock the Click Bar and Trust Bar in all line length options (19m, 22m, 24m) including the Quad Control system for four-line use. Our team can advise on the right line length for your riding style and help with bar setup, line attachment, and chicken loop choice.</p><h2>Expert Advice</h2><p>Line length affects power delivery significantly. Longer lines (24m) give more depower range and are preferred for lighter winds. Shorter lines (19m) are used by wave riders who want less kite movement above them in shore break.</p><p>Q: What bar length is best for a beginner?<br>A: A 42–44cm bar is standard for most riders. The Click Bar comes in 42cm and 50cm options — choose based on wingspan.</p><p>Q: Does the Duotone Click Bar work with non-Duotone kites?<br>A: Technically yes, but we recommend brand-matched bars for warranty and safety reasons.</p><p>Q: Can I replace just the lines on my Click Bar?<br>A: Yes — Duotone sells replacement line sets for the Click Bar. We stock them in-store.</p>",,batch_01_brands
brands/duotone-kiteboarding/kiteboards,Duotone Kiteboards,brands/duotone-kiteboarding,2,Duotone Kiteboards 2026 — Twintip & Surf Boards,"Duotone twintip and surf kiteboards 2026. Precision shapes for freestyle, freeride & waves. Free EU shipping. Shop now.","duotone kiteboards,duotone twintip,duotone surf kiteboard","<h2>Duotone Kiteboards 2026</h2><p>Duotone's kiteboard range spans performance twin-tips, surf strapless boards, and foil boards — all designed with the same precision that defines their kite technology. For 2026, Duotone has updated core construction on several models, introducing stiffer wood cores for more pop and refined rocker lines for better upwind tracking.</p><h2>Choosing a Duotone Kiteboard</h2><p>The <strong>Jaime SLS</strong> is Duotone's all-round freestyle board — poppy, precise, and liked by riders at every level above beginner. The <strong>Select SLS</strong> is the freeride option, wider and more forgiving with strong early-planing characteristics. For wave riding, the <strong>Whip D/LAB</strong> is a directional board designed for strapless surf-style riding. The <strong>Gonzales</strong> is the entry-level twin-tip offering consistent pop and easy edge-to-edge transitions.</p><h2>Why Buy Duotone Boards at Surf Store</h2><p>We stock Duotone kiteboards from 132cm to 147cm across the range, including D/LAB and SLS editions. Our team can advise on board sizing based on your weight, wind range, and riding style. Package deals combining board, pads and straps are available on request.</p><h2>Expert Advice</h2><p>For most freeriders, a 138–142cm board at 75–80kg is the ideal starting point. Go shorter for tricks, longer for light wind or heavier riders.</p><p>Q: What board size for an 85kg beginner?<br>A: The Duotone Select SLS in 144cm gives excellent planing, forgiveness, and confidence for learning.</p><p>Q: Are Duotone pads and straps sold separately?<br>A: Yes — we stock the full Duotone pad and strap range including Vario, Comfort, and Team models.</p><p>Q: Does Surf Store stock Duotone foil boards?<br>A: Yes — we carry the Duotone Soar and selected foil board shapes for kite foiling.</p>",,batch_01_brands
brands/duotone-windsurfing/sails,Duotone Windsurf Sails,brands/duotone-windsurfing,2,Duotone Windsurf Sails 2026 — All Models,"Duotone windsurfing sails 2026 — Super_Star SLS, Warp_Foil, Tonic & more. Expert advice. Free EU shipping. Shop now.","duotone windsurf sails,duotone super star sls,duotone warp foil","<h2>Duotone Windsurf Sails 2026</h2><p>Duotone produces one of the most complete windsurf sail ranges in the sport — covering slalom racing, wave riding, foiling, and all-round freeride use. The 2026 collection builds on the brand's SLS (Stiff Lite Skin) carbon construction and D/LAB technology to deliver class-leading power, light weight, and precise trim control.</p><h2>The Sail Range</h2><p>The <strong>Super_Star SLS</strong> is Duotone's PWA-proven slalom race sail, optimised for maximum speed in flat-water conditions. The <strong>Warp_Foil</strong> is designed for windsurf foiling — narrow head, manageable power, and early liftoff characteristics. The <strong>Tonic</strong> and <strong>Idol</strong> handle wave sailing with lightweight construction and a short luff for manoeuvrability in breaking surf. The <strong>Super_Hero</strong> is the entry-level range — wide wind range, self-supporting mast sleeve, and forgiving power.</p><h2>Why Buy Duotone Sails at Surf Store</h2><p>Surf Store stocks the full Duotone windsurf sail lineup from 3.4m wave sails to 9.8m race sails. We can advise on size selection, mast bend curve compatibility, and boom length for your height. Complete rig packages are available at discounted bundle prices.</p><h2>Expert Advice</h2><p>Sail size selection depends on your weight, local wind average, and board volume. As a guide: at 80kg in 15–25 knots freeride, a 6.5–7.0m sail on a 100L–130L board is a strong starting point. Our team can advise further based on your location.</p><p>Q: What mast do I need for a Duotone sail?<br>A: Duotone recommends their own SDM or RDM masts matched to the sail's published IMCS rating.</p><p>Q: Can I use one Duotone mast for multiple sails?<br>A: Yes — if the sails share the same luff length and IMCS rating, one mast can be used across models.</p><p>Q: Does Surf Store offer complete Duotone rig packages?<br>A: Yes — contact us for bundle pricing on sail, mast, boom, and extension combinations.</p>",,batch_01_brands
brands/duotone-windsurfing/masts,Duotone Windsurf Masts,brands/duotone-windsurfing,2,Duotone Windsurf Masts 2026 — SDM & RDM,"Duotone SDM and RDM windsurf masts 2026. Race-spec carbon construction. Free EU shipping €99+. Shop now at Surf Store.","duotone windsurf mast,duotone sdm mast,duotone rdm mast","<h2>Duotone Windsurf Masts 2026</h2><p>A windsurf sail's performance is only as good as the mast it's rigged on. Duotone produces their masts to the exact bend curves tested by their PWA race team — ensuring that a Duotone sail on a Duotone mast performs exactly as the designers intended. Both SDM (Standard Diameter Mast) and RDM (Reduced Diameter Mast) variants are available across carbon percentages from 60% entry to 100% D/LAB carbon.</p><h2>SDM vs RDM</h2><p><strong>SDM masts</strong> are the traditional choice for freeride and race sails in moderate to strong wind. They provide a stiffer feel and are required by many high-performance race sails. <strong>RDM masts</strong> are narrower in diameter and more flexible — preferred for wave sails and short-luff designs where the mast needs to fit inside a small mast pocket and absorb impact during wipeouts.</p><h2>Why Buy Duotone Masts at Surf Store</h2><p>We stock Duotone masts from 340cm to 520cm in both SDM and RDM variants. Our team can verify mast compatibility with your existing sails and advise on the optimal carbon percentage for your budget and riding frequency.</p><h2>Expert Advice</h2><p>The minimum recommended carbon percentage for serious racing is 75%. For recreational freeride use, a 60% carbon mast is a cost-effective choice that still provides good sail profile. Higher carbon = lighter weight and faster power delivery.</p><p>Q: What IMCS rating do I need for a 7.0m Duotone sail?<br>A: Duotone publishes recommended IMCS ratings per sail model. Our team can confirm the exact spec for your sail.</p><p>Q: Are Duotone RDM masts 2-piece or 1-piece?<br>A: Duotone masts are 2-piece (top and bottom) for travel convenience. Extension required separately.</p><p>Q: How do I know if my mast is worn out?<br>A: Check for cracks around the joint and lateral flex — if the mast feels noticeably softer than new, consider replacement.</p>",,batch_01_brands
brands/duotone-windsurfing/booms,Duotone Windsurf Booms,brands/duotone-windsurfing,2,Duotone Windsurf Booms 2026 — All Sizes,"Duotone windsurf booms 2026. Adjustable carbon & aluminium booms for all sail sizes. Free EU shipping. Shop now.","duotone windsurf boom,duotone boom 2026,windsurf boom","<h2>Duotone Windsurf Booms 2026</h2><p>A windsurf boom directly affects your ability to control sail trim, transmit power to the board, and maintain comfortable stance over a session. Duotone booms are engineered to the same standards as their sails — with precise front-end jaw geometry, lightweight arm construction, and reliable cleat systems that hold boom length in the heaviest wind load.</p><h2>Boom Materials and Sizes</h2><p>Duotone offers aluminium and 100% carbon boom options. <strong>Aluminium booms</strong> are durable, cost-effective, and ideal for recreational riders who prioritise reliability over weight. <strong>Carbon booms</strong> are significantly lighter, reducing arm fatigue during extended sessions and improving overall balance. Sizes span 140–230cm in standard and crossover adjustment ranges.</p><h2>Why Buy Duotone Booms at Surf Store</h2><p>We stock Duotone booms in all sizes and materials. Our staff can advise on the right boom length for your sail size range and riding style, and can demonstrate correct boom height and harness line position in store.</p><h2>Expert Advice</h2><p>Boom height is one of the most overlooked elements in windsurf setup. A boom that's too low causes excessive back pain; too high limits power. As a guide: boom height should be between chin and shoulder height when standing on the board.</p><p>Q: What boom length for a 6.5m–8.0m sail range?<br>A: A 160–200cm adjustable boom covers this range comfortably. Duotone's XO Boom fits most freeride and race sails.</p><p>Q: How do I prevent a boom from sliding on the mast?<br>A: Ensure the boom front end clamp is the correct diameter for your mast (SDM or RDM) and check the clamp pads for wear annually.</p><p>Q: Does Surf Store service windsurf booms?<br>A: We stock replacement front end clamp parts and cleat inserts for Duotone booms.</p>",,batch_01_brands
brands/duotone-wingsurfing/wings,Duotone Wings 2026,brands/duotone-wingsurfing,2,Duotone Wings 2026 — Unit Echo Slick & More,"All Duotone wings 2026 — Unit D/LAB, Echo, Slick & Downwinder. Expert wing foil advice. Free EU shipping. Shop now.","duotone wings 2026,duotone unit wing,duotone echo wing","<h2>Duotone Wings 2026 — The Full Range</h2><p>Duotone produces one of the most complete wing lineups in wing foiling — covering everything from beginner-friendly inflatable wings to high-performance D/LAB racing units. Every wing in the 2026 range is the product of collaboration with the Duotone wing team, who test in diverse conditions from flat water speed riding to ocean downwinders.</p><h2>Choosing a Duotone Wing</h2><p>The <strong>Unit D/LAB</strong> is Duotone's flagship — a stiff, high-aspect wing for intermediate to advanced riders who want speed, upwind angle, and powerful pumping. The <strong>Echo</strong> is the all-around recommendation: easy to relaunch, excellent for learning, and strong upwind in a wide wind range. The <strong>Slick</strong> is the beginner-friendly option with more neutral handling. For downwind sessions, Duotone's <strong>Downwinder Air</strong> SUP inflatable combines perfectly with any wing in the range.</p><h2>Why Buy Duotone Wings at Surf Store</h2><p>We stock Duotone wings from 2.5m to 8.0m across all models. Our team has personal wing foiling experience and can advise on size, handle configuration, and which Duotone foil to pair with your wing for the best progression.</p><h2>Expert Advice</h2><p>Wing size selection depends primarily on rider weight and local wind average. At 75kg in 15–20 knots, a 5.0–5.5m wing is the sweet spot for most sessions. Going smaller increases speed and control; larger improves light-wind performance.</p><p>Q: What Duotone wing for an 80kg beginner?<br>A: The Duotone Echo 5.5m–6.0m in a stable beginner colour is ideal for learning with room to progress.</p><p>Q: How long does a Duotone wing last?<br>A: With proper care (rinse, dry, store out of sunlight), a Duotone wing will last 300+ hours. Bladder replacement is the most common maintenance.</p><p>Q: Does Surf Store stock replacement Duotone wing bladders?<br>A: Yes — we carry leading edge and strut bladders for current Duotone wing models.</p>",,batch_01_brands
brands/cabrinha/kites,Cabrinha Kites 2026,brands/cabrinha,2,Cabrinha Kites 2026 — All Models & Sizes,"All Cabrinha kites 2026 — Switchblade, Drifter, Moto & FX. Expert kite advice. Free EU shipping €99+. Shop now.","cabrinha kites 2026,cabrinha switchblade,cabrinha drifter","<h2>Cabrinha Kites 2026 — The Complete Range</h2><p>Cabrinha's kite lineup for 2026 continues the brand's tradition of offering distinct, purpose-built models for every riding style — from the world's most popular beginner kite to dedicated wave and freestyle platforms. Each model is designed in Maui and tested in the consistent trade winds and ocean surf that define Cabrinha's development environment.</p><h2>The Cabrinha Kite Range</h2><p>The <strong>Switchblade</strong> remains the cornerstone of the range — its delta-hybrid design offers a wide depower range, excellent relaunch, and comfortable bar pressure that works for beginners and experienced riders alike. The <strong>Drifter</strong> is Cabrinha's wave-specific design, built to drift downwind and relaunch efficiently in surf. The <strong>FX</strong> is the freestyle kite: direct, stiff, and explosive for unhooked tricks.</p><p>The <strong>Moto</strong> is the entry-level all-rounder, designed for beginners who want a stable, confidence-inspiring first kite. The <strong>Moto X</strong> is the performance version — adding boost and hangtime for riders progressing beyond basics. For foiling, the <strong>Contra</strong> offers extraordinary upwind angle and light-wind performance.</p><h2>Why Buy Cabrinha Kites at Surf Store</h2><p>Surf Store stocks the full Cabrinha 2026 kite range from 4m to 19m, with the Switchblade available in all standard sizes and the Drifter in sizes optimised for wave riding. We can arrange demo sessions in conjunction with local kite schools and provide full post-purchase support.</p><h2>Expert Advice</h2><p>For riders new to Cabrinha, the Switchblade in a 10m or 12m is the most recommended starting point — versatile enough for learning and strong enough to stay in your quiver as skills develop.</p><p>Q: What's the difference between the Cabrinha Switchblade and Moto?<br>A: The Switchblade is performance-oriented with delta-hybrid geometry; the Moto is more beginner-friendly with wider depower and easier relaunch.</p><p>Q: Can I use Cabrinha kites with a Duotone bar?<br>A: We do not recommend cross-brand bar use. Cabrinha's Unify bar is optimised for their kite geometry and safety systems.</p><p>Q: Does Surf Store offer kite demos?<br>A: Contact us — we can arrange demo sessions with Cabrinha kites at select locations in Slovenia.</p>",,batch_01_brands
brands/neilpryde/sails,NeilPryde Windsurf Sails 2026,brands/neilpryde,2,NeilPryde Windsurf Sails 2026 — Wizard & More,"NeilPryde windsurf sails 2026 — Atlas, Fusion, RS:Flight & more. Expert advice. Free EU shipping €99+. Shop now.","neilpryde sails 2026,neilpryde atlas,neilpryde rs flight","<h2>NeilPryde Windsurf Sails 2026</h2><p>NeilPryde has produced some of the most successful windsurf racing sails of all time — with multiple PWA World Championship wins across slalom and formula disciplines. The 2026 collection builds on X-Ply monofilm laminates, precise batten tuning, and production quality that delivers consistent sail profile over hundreds of hours of use.</p><h2>The NeilPryde Sail Range</h2><p>The <strong>RS:Flight</strong> is NeilPryde's premium race sail — produced in collaboration with their PWA riders for maximum speed in slalom conditions. The <strong>Atlas Pro</strong> is the mid-range freerace option: race-inspired shape at a more accessible price point, ideal for club racers. The <strong>Fusion</strong> is the all-round freeride sail — wide wind range, easy rigging, and consistent power delivery. The <strong>Wizard</strong> is the entry-level sail for beginners transitioning from school boards to planning.</p><h2>Why Buy NeilPryde Sails at Surf Store</h2><p>We stock NeilPryde sails from 3.3m to 9.6m with matching masts and boom recommendations. Our windsurf team can advise on size for your weight, local wind range, and board. Complete rig packages with NeilPryde masts and booms are available at bundle pricing.</p><h2>Expert Advice</h2><p>NeilPryde sails are manufactured to tight tolerances — ensuring the sail shape you see in reviews is replicated in your production model. We recommend pairing NeilPryde sails with NeilPryde masts for optimal profile accuracy.</p><p>Q: What mast for a NeilPryde Atlas Pro 7.0m?<br>A: NeilPryde publishes specific mast recommendations per sail model including luff length and IMCS rating. Our team can confirm.</p><p>Q: Are NeilPryde sails good for beginners?<br>A: The Wizard series is explicitly designed for learning — wide batten spacing and a forgiving power curve make it an excellent first sail.</p><p>Q: Does Surf Store stock NeilPryde race accessories?<br>A: Yes — we carry harness lines, boom clamps, downhaul ropes, and other race accessories alongside the sail range.</p>",,batch_01_brands
brands/ion/wetsuits,ION Wetsuits 2026,brands/ion,2,ION Wetsuits 2026 — All Thicknesses & Styles,"ION Water wetsuits 2026 — 2mm to 6/5mm. Men, women & kids. Expert fit advice. Free EU shipping €99+. Shop now.","ion wetsuits 2026,ion element wetsuit,ion amaze wetsuit","<h2>ION Wetsuits 2026 — The Full Range</h2><p>ION's 2026 wetsuit collection is the most comprehensive in the brand's history — spanning 2mm summer suits to 6/5mm cold-water models with attached hood, covering men, women, and children. ION uses SuperFlex neoprene with preformed knee panels, liquid-seal wrist and ankle cuffs, and both back-zip and chest-zip entry options across the range.</p><h2>Choosing an ION Wetsuit</h2><p>The <strong>Base</strong> series is ION's entry-level range — quality construction at accessible prices, ideal for casual water sports use in 15–22°C water. The <strong>Element</strong> series adds stretch neoprene panels and upgraded seam construction for improved durability and warmth. The <strong>Seek</strong> range is the mid-premium tier — front-zip designs with advanced thermal lining options. The <strong>Amaze</strong> is the women-specific line across all thicknesses, with an anatomically adjusted cut and shorter leg length.</p><p>At the top of the range, the <strong>Seek Amp</strong> in 5/4mm and 6/5mm delivers the maximum warmth ION offers — suitable for winter sessions in water down to 8°C.</p><h2>Why Buy ION Wetsuits at Surf Store</h2><p>Surf Store carries the largest ION wetsuit range in Slovenia — over 50 models in stock across thicknesses, entry styles, and gender sizes. Our team can advise on size (ION uses European sizing with height/weight charts) and help you find the right model for your target water temperature and sport.</p><h2>Expert Advice</h2><p>The right wetsuit thickness depends on water temperature, not air temperature. We recommend our wetsuit temperature guide: 2mm for 20°C+, 3/2mm for 16–20°C, 4/3mm for 12–16°C, 5/4mm for 8–12°C, and 6/5mm with hood below 8°C.</p><p>Q: Should I buy a back-zip or chest-zip ION wetsuit?<br>A: Chest-zip wetsuits are warmer and better fitting but harder to get on. Back-zip suits are easier for beginners. Our team can advise based on your experience level.</p><p>Q: How do I care for an ION wetsuit?<br>A: Rinse in fresh water after each use, dry inside-out in shade, and store flat or on a wide hanger. Avoid UV exposure and heat.</p><p>Q: What age are ION kids wetsuits sized for?<br>A: ION kids suits are available from 4 years (92cm) to 14 years (164cm) in 3/2mm and 4/3mm thicknesses.</p>",,batch_01_brands
